Time (s),x (m),y (m),z (m),vx (m/s),vy (m/s),vz (m/s),B_North (nT),B_East (nT),B_Down (nT),RollTorque (Nm),PitchTorque (Nm),YawTorque (Nm),OmegaX (rad/s),OmegaY (rad/s),OmegaZ (rad/s),Power (Watt)
490,-5.851851189606117,-1.8542128528014377,2.7601415173359114,0.0037872788280579753,-0.0043008839472826995,0.005139751510881898,2.3254307973213505e-05,4.974232897716248e-06,2.064917686930333e-05,3.1248180613696053e-06,-9.833620422929183e-06,-6.7088023615595775e-06,0.19901639440466726,0.09890396053561631,0.29901639440466765,0
500,-5.8135966393883045,-1.897099528685906,2.8113569260832345,0.003863547274178616,-0.004276357950610733,0.005103218574654531,2.3149395389616123e-05,4.975082589530145e-06,2.1114760391971222e-05,-9.79745910828033e-06,7.384424907000755e-06,-2.4130342012795745e-06,0.19896011043533254,0.09885842396404046,0.29896011043533294,0
510,-5.774581939519156,-1.9397381517182513,2.862203663708504,0.003939307103652632,-0.004251273927744533,0.005066018105178938,2.3042380728548366e-05,4.975568928683624e-06,2.1577577277318887e-05,-2.4977310054963697e-06,-9.262675431980922e-06,-2.4977310054963697e-06,0.19897047742831003,0.09883397720711848,0.2989704774283104,0
520,-5.734812225687818,-1.9821231582841585,2.9126750795851315,0.004014548423736449,-0.004225635220296047,0.005028155058075075,2.2933292766746774e-05,4.97568332401806e-06,2.2037566948872414e-05,3.0085613045143062e-06,3.0085613045143062e-06,-9.239274726563466e-06,0.19890541889512836,0.09884348609997741,0.2989054188951287,0
530,-5.694292732154986,-2.0242490185471693,2.962764573074722,0.004089261413074721,-0.004199445242138599,0.00498963447523715,2.28221611887696e-05,4.975416839835699e-06,2.2494669196265816e-05,-7.3115068635960836e-06,-7.3115068635960836e-06,7.861436298990409e-07,0.1988841751678131,0.09876861398828868,0.2988841751678134,0
540,-5.653028791032692,-2.0661102371687057,3.0124655943860636,0.004163436322966724,-0.004172707478887841,0.004950461484081565,2.2709016605969094e-05,4.974760187339929e-06,2.2948824183159103e-05,2.2559478232925883e-06,-9.75598672163599e-06,-7.500038898343402e-06,0.19885812571479047,0.09879394784347038,0.2988581257147907,0
550,-5.611025831551469,-2.1077013540228613,3.061771645426548,0.004237063478619308,-0.004145425487373627,0.004910641296784383,2.259389057631389e-05,4.973703716002127e-06,2.3399972455116515e-05,-1.0269679369432383e-05,6.7973996495202834e-06,-3.4722797199121e-06,0.19879601353795176,0.0987469811258532,0.2987960135379518,0
560,-5.56828937931508,-2.1490169449058634,3.110676280645909,0.004310133280386379,-0.004117602895102985,0.0048701792095084805,2.2476815625085543e-05,4.972237404878988e-06,2.3848054947443032e-05,-9.203824621558224e-06,-9.034724581753513e-06,-1.6910003980471056e-07,0.1987920004103532,0.09871996192746604,0.29879200041035325,0
570,-5.524825055542893,-2.1900516222401283,3.1591731078721863,0.0043826362049946945,-0.004089243399714314,0.004829080601620623,2.2357825266473678e-05,4.9703508539073995e-06,2.4293012992978786e-05,-1.7473540418756275e-06,8.154491314702977e-06,-9.901845356578604e-06,0.1987173506663093,0.09873816710339706,0.2987173506663094,0
580,-5.480638576300097,-2.2308000357728046,3.2072557891398055,0.004454562806755907,-0.004060350768422977,0.00478735093489864,2.223695402609234e-05,4.968033275207002e-06,2.4734788329849778e-05,-7.488891592094183e-06,-7.488891592094183e-06,-8.032836122853591e-08,0.19868925262869847,0.09866320744119074,0.29868925262869855,0
